food_id,food_name,calories,protein,carbs,fats,fiber,serving_size,food_category,diet_type,meal_type,health_benefits,image_path
F001,Idli,58,2.0,12.0,0.4,0.8,1 piece (40g),South Indian Foods,vegetarian,Breakfast,"light, fermented, easy digestion",nutrition_images/idli.jpg
F002,Dosa,133,3.0,18.0,5.0,1.0,1 plain dosa (70g),South Indian Foods,vegetarian,Breakfast,"energy, fermented batter benefits",nutrition_images/dosa.jpg
F003,Rava Dosa,170,4.0,24.0,6.0,1.2,1 piece (80g),South Indian Foods,vegetarian,Breakfast,quick energy and satiety,nutrition_images/rava_dosa.jpg
F004,Uttapam,190,5.5,28.0,6.0,2.0,1 medium (100g),South Indian Foods,vegetarian,Breakfast,balanced carbs with veggies,nutrition_images/uttapam.jpg
F005,Ven Pongal,210,6.0,30.0,7.0,2.0,1 cup (180g),South Indian Foods,vegetarian,Breakfast,comfort food and sustained energy,nutrition_images/ven_pongal.jpg
F006,Upma,220,5.0,34.0,7.0,2.5,1 cup (180g),South Indian Foods,vegetarian,Breakfast,steady energy for mornings,nutrition_images/upma.jpg
F007,Poha,180,4.0,30.0,5.0,2.0,1 cup (160g),Breakfast,vegetarian,Breakfast,light and quick digesting,nutrition_images/poha.jpg
F008,Pesarattu,160,9.0,22.0,4.0,3.0,1 piece (90g),South Indian Foods,vegan,Breakfast,protein-rich from green gram,nutrition_images/pesarattu.jpg
F009,Appam,120,2.5,22.0,2.0,0.7,1 piece (60g),South Indian Foods,vegetarian,Breakfast,fermented and light,nutrition_images/appam.jpg
F010,Adai,210,8.0,28.0,7.0,4.0,1 piece (90g),South Indian Foods,vegan,Breakfast,high-protein lentil dosa,nutrition_images/adai.jpg
F011,Chapati,110,3.5,20.0,1.8,3.0,1 piece (40g),Indian Home Foods,vegetarian,Lunch,whole wheat fiber support,nutrition_images/chapati.jpg
F012,Phulka,80,2.8,16.0,0.8,2.2,1 piece (30g),Indian Home Foods,vegetarian,Dinner,light dinner carb option,nutrition_images/phulka.jpg
F013,Brown Rice,216,5.0,45.0,1.8,3.5,1 cup cooked (195g),Indian Home Foods,vegan,Lunch,complex carbs and fiber,nutrition_images/brown_rice.jpg
F014,White Rice,205,4.0,45.0,0.4,0.6,1 cup cooked (186g),Indian Home Foods,vegan,Lunch,easy-to-digest staple energy,nutrition_images/white_rice.jpg
F015,Jeera Rice,230,4.2,40.0,6.0,1.0,1 cup (180g),Indian Home Foods,vegetarian,Lunch,flavorful staple with digestion support,nutrition_images/jeera_rice.jpg
F016,Lemon Rice,240,4.0,42.0,6.5,1.8,1 cup (180g),Indian Home Foods,vegan,Lunch,quick energy and appetite support,nutrition_images/lemon_rice.jpg
F017,Curd Rice,260,6.5,36.0,9.0,1.2,1 cup (200g),South Indian Foods,vegetarian,Lunch,cooling and gut-friendly,nutrition_images/curd_rice.jpg
F018,Sambar Rice,280,8.0,44.0,8.0,4.0,1 cup (220g),South Indian Foods,vegetarian,Lunch,lentil protein plus vegetables,nutrition_images/sambar_rice.jpg
F019,Vegetable Khichdi,250,8.0,38.0,7.0,5.0,1 cup (220g),Indian Home Foods,vegetarian,Dinner,easy digestion and balanced meal,nutrition_images/vegetable_khichdi.jpg
F020,Dal Tadka,180,9.0,20.0,6.0,5.0,1 cup (180g),Indian Home Foods,vegetarian,Lunch,protein and fiber support,nutrition_images/dal_tadka.jpg
F021,Moong Dal,160,10.0,22.0,2.0,5.0,1 cup (180g),Protein Foods,vegan,Lunch,lean plant protein,nutrition_images/moong_dal.jpg
F022,Toor Dal,190,10.0,28.0,3.0,6.0,1 cup (180g),Protein Foods,vegan,Lunch,protein and sustained energy,nutrition_images/toor_dal.jpg
F023,Rajma Curry,230,11.0,33.0,6.0,8.0,1 cup (200g),Protein Foods,vegan,Lunch,high fiber and satiety,nutrition_images/rajma_curry.jpg
F024,Chole,260,11.0,35.0,8.0,9.0,1 cup (200g),Protein Foods,vegan,Lunch,protein and iron-rich,nutrition_images/chole.jpg
F025,Paneer Bhurji,280,16.0,8.0,20.0,1.0,1 cup (180g),Protein Foods,vegetarian,Dinner,high-protein vegetarian option,nutrition_images/paneer_bhurji.jpg
F026,Paneer Tikka,240,20.0,7.0,14.0,1.5,1 plate (150g),Protein Foods,vegetarian,Dinner,protein for muscle recovery,nutrition_images/paneer_tikka.jpg
F027,Boiled Egg,78,6.3,0.6,5.3,0.0,1 egg (50g),Protein Foods,eggetarian,Breakfast,complete protein and satiety,nutrition_images/boiled_egg.jpg
F028,Egg Omelette,155,10.0,2.0,12.0,0.2,2 egg omelette (100g),Protein Foods,eggetarian,Breakfast,protein-rich start for focus,nutrition_images/egg_omelette.jpg
F029,Scrambled Eggs,180,12.0,3.0,13.0,0.2,1 serving (110g),Protein Foods,eggetarian,Breakfast,quick protein for energy,nutrition_images/scrambled_eggs.jpg
F030,Chicken Breast Grilled,165,31.0,0.0,3.6,0.0,100g,Protein Foods,non_vegetarian,Lunch,lean protein for muscle support,nutrition_images/chicken_breast_grilled.jpg
F031,Chicken Curry Home Style,240,22.0,6.0,14.0,1.0,1 cup (180g),Indian Home Foods,non_vegetarian,Lunch,protein and recovery support,nutrition_images/chicken_curry_home_style.jpg
F032,Fish Curry,220,22.0,5.0,12.0,1.0,1 cup (180g),Indian Home Foods,non_vegetarian,Dinner,omega-3 and recovery benefits,nutrition_images/fish_curry.jpg
F033,Grilled Fish,190,24.0,0.0,10.0,0.0,100g,Protein Foods,non_vegetarian,Dinner,high protein and healthy fats,nutrition_images/grilled_fish.jpg
F034,Sprouts Salad,140,9.0,22.0,2.0,6.0,1 bowl (150g),Fitness Meals,vegan,Snacks,fiber and plant protein,nutrition_images/sprouts_salad.jpg
F035,Peanut Sundal,190,8.0,14.0,11.0,4.0,1 cup (130g),Snacks,vegan,Snacks,protein-rich evening snack,nutrition_images/peanut_sundal.jpg
F036,Chana Sundal,170,9.0,24.0,4.0,6.0,1 cup (130g),Snacks,vegan,Snacks,high satiety protein snack,nutrition_images/chana_sundal.jpg
F037,Roasted Chana,120,6.0,18.0,2.0,5.0,30g,Healthy snacks,vegan,Snacks,portable protein and fiber,nutrition_images/roasted_chana.jpg
F038,Peanuts Roasted,170,7.0,6.0,14.0,2.5,30g,Healthy snacks,vegan,Snacks,healthy fats and satiety,nutrition_images/peanuts_roasted.jpg
F039,Almonds,174,6.0,6.0,15.0,3.5,28g,Healthy snacks,vegan,Snacks,healthy fats for brain function,nutrition_images/almonds.jpg
F040,Walnuts,185,4.0,4.0,18.0,2.0,28g,Healthy snacks,vegan,Snacks,omega-3 for focus support,nutrition_images/walnuts.jpg
F041,Cashews,157,5.0,9.0,12.0,1.0,28g,Healthy snacks,vegan,Snacks,energy-dense healthy fat,nutrition_images/cashews.jpg
F042,Pistachios,160,6.0,8.0,13.0,3.0,28g,Healthy snacks,vegan,Snacks,protein + fat satiety combo,nutrition_images/pistachios.jpg
F043,Dates,66,0.4,18.0,0.1,1.6,1 piece (24g),Snacks,vegan,Snacks,quick natural energy,nutrition_images/dates.jpg
F044,Raisins,85,1.0,22.0,0.1,1.0,30g,Snacks,vegan,Snacks,instant carb energy,nutrition_images/raisins.jpg
F045,Banana,105,1.3,27.0,0.4,3.1,1 medium (118g),Fruits,vegan,Snacks,potassium and quick energy,nutrition_images/banana.jpg
F046,Apple,95,0.5,25.0,0.3,4.4,1 medium (182g),Fruits,vegan,Snacks,fiber and gut support,nutrition_images/apple.jpg
F047,Orange,62,1.2,15.0,0.2,3.0,1 medium (130g),Fruits,vegan,Snacks,vitamin C and hydration,nutrition_images/orange.jpg
F048,Guava,68,2.6,14.0,1.0,5.4,100g,Fruits,vegan,Snacks,high fiber and vitamin C,nutrition_images/guava.jpg
F049,Papaya,55,0.9,14.0,0.2,2.3,1 cup (140g),Fruits,vegan,Breakfast,digestion and hydration support,nutrition_images/papaya.jpg
F050,Pomegranate,83,1.7,19.0,1.2,4.0,100g,Fruits,vegan,Snacks,antioxidant-rich focus support,nutrition_images/pomegranate.jpg
F051,Watermelon,46,0.9,11.0,0.2,0.6,1 cup (154g),Hydration foods,vegan,Snacks,high hydration food,nutrition_images/watermelon.jpg
F052,Muskmelon,53,1.3,13.0,0.3,1.4,1 cup (156g),Hydration foods,vegan,Snacks,cooling hydration fruit,nutrition_images/muskmelon.jpg
F053,Mango,99,1.4,25.0,0.6,2.6,1 cup (165g),Fruits,vegan,Snacks,energy and micronutrient support,nutrition_images/mango.jpg
F054,Pear,101,0.6,27.0,0.2,5.5,1 medium (178g),Fruits,vegan,Snacks,fiber-rich steady energy,nutrition_images/pear.jpg
F055,Pineapple,82,0.9,22.0,0.2,2.3,1 cup (165g),Fruits,vegan,Snacks,digestive enzyme support,nutrition_images/pineapple.jpg
F056,Grapes,104,1.1,27.0,0.2,1.4,1 cup (151g),Fruits,vegan,Snacks,quick energy and antioxidants,nutrition_images/grapes.jpg
F057,Cucumber,16,0.7,3.8,0.1,0.5,100g,Vegetables,vegan,Snacks,hydration and low-calorie,nutrition_images/cucumber.jpg
F058,Tomato,18,0.9,3.9,0.2,1.2,100g,Vegetables,vegan,Lunch,antioxidants and freshness,nutrition_images/tomato.jpg
F059,Carrot,41,0.9,10.0,0.2,2.8,100g,Vegetables,vegan,Lunch,beta-carotene for wellness,nutrition_images/carrot.jpg
F060,Beetroot,43,1.6,10.0,0.2,2.8,100g,Vegetables,vegan,Lunch,nitrate support for stamina,nutrition_images/beetroot.jpg
F061,Spinach,23,2.9,3.6,0.4,2.2,100g,Vegetables,vegan,Lunch,iron and folate support,nutrition_images/spinach.jpg
F062,Cabbage,25,1.3,6.0,0.1,2.5,100g,Vegetables,vegan,Lunch,fiber for gut health,nutrition_images/cabbage.jpg
F063,Cauliflower,25,1.9,5.0,0.3,2.0,100g,Vegetables,vegan,Lunch,low-calorie meal volume,nutrition_images/cauliflower.jpg
F064,Broccoli,34,2.8,7.0,0.4,2.6,100g,Vegetables,vegan,Lunch,fiber and micronutrient rich,nutrition_images/broccoli.jpg
F065,Bottle Gourd,14,0.6,3.4,0.1,0.6,100g,Vegetables,vegan,Dinner,light and hydrating,nutrition_images/bottle_gourd.jpg
F066,Ridge Gourd,20,0.8,4.4,0.3,1.1,100g,Vegetables,vegan,Dinner,easy digestion vegetable,nutrition_images/ridge_gourd.jpg
F067,Pumpkin,26,1.0,7.0,0.1,0.5,100g,Vegetables,vegan,Dinner,low calorie and vitamin A,nutrition_images/pumpkin.jpg
F068,Okra,33,1.9,7.5,0.2,3.2,100g,Vegetables,vegan,Lunch,fiber and gut-friendly,nutrition_images/okra.jpg
F069,Brinjal,25,1.0,6.0,0.2,3.0,100g,Vegetables,vegan,Dinner,light vegetable curry base,nutrition_images/brinjal.jpg
F070,Green Beans,31,1.8,7.0,0.1,3.4,100g,Vegetables,vegan,Lunch,fiber and low calories,nutrition_images/green_beans.jpg
F071,Mushroom,22,3.1,3.3,0.3,1.0,100g,Vegetables,vegetarian,Dinner,low-calorie protein support,nutrition_images/mushroom.jpg
F072,Onion,40,1.1,9.0,0.1,1.7,100g,Vegetables,vegan,Lunch,flavor and antioxidant support,nutrition_images/onion.jpg
F073,Potato Boiled,87,1.9,20.0,0.1,1.8,100g,Vegetables,vegan,Lunch,affordable carb energy,nutrition_images/potato_boiled.jpg
F074,Sweet Potato,86,1.6,20.0,0.1,3.0,100g,Fitness Meals,vegan,Snacks,complex carb for workouts,nutrition_images/sweet_potato.jpg
F075,Oats Porridge,150,5.0,27.0,3.0,4.0,1 cup (234g),Breakfast,vegetarian,Breakfast,slow-release energy,nutrition_images/oats_porridge.jpg
F076,Overnight Oats,220,8.0,35.0,6.0,6.0,1 jar (250g),Fitness Meals,vegetarian,Breakfast,fiber and satiety,nutrition_images/overnight_oats.jpg
F077,Millet Porridge,170,5.0,31.0,3.0,3.5,1 cup (220g),Breakfast,vegan,Breakfast,stable energy and minerals,nutrition_images/millet_porridge.jpg
